id,destinations,flag_entry,organization_code,organization_type,source_org_type,sync_url,table_name,to_child,to_parent,type
31,3,0,001,UNION,SELF,a,tbl_animal_type_local,0,0,1
32,0,1,001,UNION,PARENT,a,tbl_animal_type_local,1,0,2
33,3,0,001,UNION,SELF,a,tbl_caste_category,0,0,1
34,0,1,001,UNION,PARENT,a,tbl_caste_category,1,0,2
35,3,0,001,UNION,SELF,a,tbl_caste_category_local,0,0,1
36,0,1,001,UNION,PARENT,a,tbl_caste_category_local,1,0,2
37,3,0,001,UNION,SELF,a,tbl_dcs_types,0,0,1
38,0,1,001,UNION,PARENT,a,tbl_dcs_types,1,0,2
39,3,0,001,UNION,SELF,a,tbl_dcs_types_local,0,0,1
40,0,1,001,UNION,PARENT,a,tbl_dcs_types_local,1,0,2
41,3,0,001,UNION,SELF,a,tbl_designation,0,0,1
42,0,1,001,UNION,PARENT,a,tbl_designation,1,0,2
43,3,0,001,UNION,SELF,a,tbl_designation_local,0,0,1
44,0,1,001,UNION,PARENT,a,tbl_designation_local,1,0,2
45,3,0,001,UNION,SELF,a,tbl_land_unit,0,0,1
46,0,1,001,UNION,PARENT,a,tbl_land_unit,1,0,2
47,3,0,001,UNION,SELF,a,tbl_land_unit_local,0,0,1
48,0,1,001,UNION,PARENT,a,tbl_land_unit_local,1,0,2
49,3,0,001,UNION,SELF,a,tbl_ledger_type,0,0,1
50,0,1,001,UNION,PARENT,a,tbl_ledger_type,1,0,2
51,3,0,001,UNION,SELF,a,tbl_ledger_type_local,0,0,1
52,0,1,001,UNION,PARENT,a,tbl_ledger_type_local,1,0,2
53,3,0,001,UNION,SELF,a,tbl_meeting_type,0,0,1
54,0,1,001,UNION,PARENT,a,tbl_meeting_type,1,0,2
55,3,0,001,UNION,SELF,a,tbl_meeting_type_local,0,0,1
56,0,1,001,UNION,PARENT,a,tbl_meeting_type_local,1,0,2
57,3,0,001,UNION,SELF,a,tbl_miscellaneous,0,0,1
58,0,1,001,UNION,PARENT,a,tbl_miscellaneous,1,0,2
59,3,0,001,UNION,SELF,a,tbl_miscellaneous_local,0,0,1
60,0,1,001,UNION,PARENT,a,tbl_miscellaneous_local,1,0,2
61,3,0,001,UNION,SELF,a,tbl_salary_heads,0,0,1
62,0,1,001,UNION,PARENT,a,tbl_salary_heads,1,0,2
63,3,0,001,UNION,SELF,a,tbl_salary_heads_local,0,0,1
64,0,1,001,UNION,PARENT,a,tbl_salary_heads_local,1,0,2
65,3,0,001,UNION,SELF,a,tbl_units,0,0,1
66,0,1,001,UNION,PARENT,a,tbl_units,1,0,2
67,3,0,001,UNION,SELF,a,tbl_units_local,0,0,1
68,0,1,001,UNION,PARENT,a,tbl_units_local,1,0,2
69,3,0,001,UNION,SELF,a,tbl_voucher_type,0,0,1
70,0,1,001,UNION,PARENT,a,tbl_voucher_type,1,0,2
71,3,0,001,UNION,SELF,a,tbl_voucher_type_local,0,0,1
72,0,1,001,UNION,PARENT,a,tbl_voucher_type_local,1,0,2
73,3,0,001,UNION,SELF,a,tbl_milk_quality_type,0,0,1
74,0,1,001,UNION,PARENT,a,tbl_milk_quality_type,1,0,2
75,3,0,001,UNION,SELF,a,tbl_milk_quality_type_local,0,0,1
76,0,1,001,UNION,PARENT,a,tbl_milk_quality_type_local,1,0,2
77,3,0,001,UNION,SELF,a,tbl_banks,0,0,1
78,0,1,001,UNION,PARENT,a,tbl_banks,1,0,2
79,3,0,001,UNION,SELF,a,tbl_banks_local,0,0,1
80,0,1,001,UNION,PARENT,a,tbl_banks_local,1,0,2
81,2,1,001,UNION,SELF,a,tbl_branch,1,1,1
82,3,0,001,UNION,SELF,a,tbl_branch,0,0,2
83,2,1,001,UNION,SELF,a,tbl_branch_local,1,1,1
84,3,0,001,UNION,SELF,a,tbl_branch_local,0,0,2
85,3,0,001,UNION,SELF,a,tbl_federations,0,0,1
86,0,1,001,UNION,PARENT,a,tbl_federations,1,0,2
87,3,0,001,UNION,SELF,a,tbl_federations_local,0,0,1
88,0,1,001,UNION,PARENT,a,tbl_federations_local,1,0,2
89,3,0,001,UNION,SELF,a,tbl_unions,0,0,1
90,0,1,001,UNION,PARENT,a,tbl_unions,1,0,2
91,3,0,001,UNION,SELF,a,tbl_unions_local,0,0,1
92,0,1,001,UNION,PARENT,a,tbl_unions_local,1,0,2
93,2,1,001,UNION,SELF,a,tbl_routes,1,1,1
94,3,0,001,UNION,SELF,a,tbl_routes,0,0,2
95,2,1,001,UNION,SELF,a,tbl_routes_local,1,1,1
96,3,0,001,UNION,SELF,a,tbl_routes_local,0,0,2
97,2,1,001,UNION,SELF,a,tbl_dcs,1,1,1
98,3,0,001,UNION,SELF,a,tbl_dcs,0,0,2
99,2,1,001,UNION,SELF,a,tbl_dcs_local,1,1,1
100,3,0,001,UNION,SELF,a,tbl_dcs_local,0,0,2
101,2,1,001,UNION,SELF,a,tbl_sub_center,1,1,1
102,1,1,001,UNION,CHILD,a,tbl_sub_center,1,0,2
103,2,1,001,UNION,SELF,a,tbl_sub_center_local,1,1,1
104,1,1,001,UNION,CHILD,a,tbl_sub_center_local,1,0,2
105,2,1,001,UNION,SELF,a,tbl_collection_point,1,1,1
106,1,1,001,UNION,CHILD,a,tbl_collection_point,0,1,2
107,2,1,001,UNION,SELF,a,tbl_mcc_plant,1,1,1
108,3,0,001,UNION,SELF,a,tbl_mcc_plant,0,0,2
109,2,1,001,UNION,SELF,a,tbl_mcc_plant_local,1,1,1
110,3,0,001,UNION,SELF,a,tbl_mcc_plant_local,0,0,2
111,3,0,001,UNION,SELF,a,tbl_ledger_group,0,0,1
112,0,1,001,UNION,PARENT,a,tbl_ledger_group,1,0,2
113,3,0,001,UNION,SELF,a,tbl_ledger_group_local,0,0,1
114,0,1,001,UNION,PARENT,a,tbl_ledger_group_local,1,0,2
115,2,1,001,UNION,SELF,a,tbl_ledger,1,1,1
116,0,1,001,UNION,PARENT,a,tbl_ledger,1,0,2
117,1,1,001,UNION,CHILD,a,tbl_ledger,0,1,2
118,2,1,001,UNION,SELF,a,tbl_ledger_local,1,1,1
119,0,1,001,UNION,PARENT,a,tbl_ledger_local,1,0,2
120,1,1,001,UNION,CHILD,a,tbl_ledger_local,0,1,2
121,3,0,001,UNION,SELF,a,tbl_sub_ledger,0,0,1
122,3,0,001,UNION,SELF,a,tbl_sub_ledger,0,0,2
123,3,0,001,UNION,SELF,a,tbl_sub_ledger_local,0,0,1
124,3,0,001,UNION,SELF,a,tbl_sub_ledger_local,0,0,2
125,3,0,001,UNION,SELF,a,tbl_ledger_subledger_mapping,0,0,1
126,3,0,001,UNION,SELF,a,tbl_ledger_subledger_mapping,0,0,2
127,3,0,001,UNION,SELF,a,tbl_ledger_budgeting,0,0,1
128,3,0,001,UNION,SELF,a,tbl_ledger_budgeting,0,0,2
129,0,1,001,UNION,SELF,a,tbl_union_bill_head,1,0,1
130,3,0,001,UNION,SELF,a,tbl_union_bill_head,0,0,2
131,0,1,001,UNION,SELF,a,tbl_union_bill_head_local,1,0,1
132,3,0,001,UNION,SELF,a,tbl_union_bill_head_local,0,0,2
133,3,0,001,UNION,SELF,a,tbl_union_bill_master,0,0,1
134,3,0,001,UNION,SELF,a,tbl_union_bill_master,0,0,2
135,3,0,001,UNION,SELF,a,tbl_union_bill_entry,0,0,1
136,3,0,001,UNION,SELF,a,tbl_union_bill_entry,0,0,2
137,3,0,001,UNION,SELF,a,tbl_voucher_entry,0,0,1
138,3,0,001,UNION,SELF,a,tbl_voucher_entry,0,0,2
139,3,0,001,UNION,SELF,a,tbl_voucher_sub_ledger,0,0,1
140,3,0,001,UNION,SELF,a,tbl_voucher_sub_ledger,0,0,2
141,3,0,001,UNION,SELF,a,tbl_basic_tax,0,0,1
142,0,1,001,UNION,PARENT,a,tbl_basic_tax,1,0,2
143,3,0,001,UNION,SELF,a,tbl_basic_tax_local,0,0,1
144,0,1,001,UNION,PARENT,a,tbl_basic_tax_local,1,0,2
145,3,0,001,UNION,SELF,a,tbl_tax_group,0,0,1
146,0,1,001,UNION,PARENT,a,tbl_tax_group,1,0,2
147,3,0,001,UNION,SELF,a,tbl_tax_group_local,0,0,1
148,0,1,001,UNION,PARENT,a,tbl_tax_group_local,1,0,2
149,3,0,001,UNION,SELF,a,tbl_tax,0,0,1
150,0,1,001,UNION,PARENT,a,tbl_tax,1,0,2
151,3,0,001,UNION,SELF,a,tbl_tax_local,0,0,1
152,0,1,001,UNION,PARENT,a,tbl_tax_local,1,0,2
153,3,0,001,UNION,SELF,a,tbl_tax_state,0,0,1
154,0,1,001,UNION,PARENT,a,tbl_tax_state,1,0,2
155,3,0,001,UNION,SELF,a,tbl_tax_detail,0,0,1
156,0,1,001,UNION,PARENT,a,tbl_tax_detail,1,0,2
157,3,0,001,UNION,SELF,a,tbl_tax_depends,0,0,1
158,0,1,001,UNION,PARENT,a,tbl_tax_depends,1,0,2
159,3,0,001,UNION,SELF,a,tbl_tax_detail_ledger_mapping,0,0,1
160,1,1,001,UNION,CHILD,a,tbl_tax_detail_ledger_mapping,0,1,2
161,3,0,001,UNION,SELF,a,tbl_asset_group,0,0,1
162,0,1,001,UNION,PARENT,a,tbl_asset_group,1,0,2
163,3,0,001,UNION,SELF,a,tbl_asset_group_local,0,0,1
164,0,1,001,UNION,PARENT,a,tbl_asset_group_local,1,0,2
165,2,1,001,UNION,SELF,a,tbl_asset_sub_group,1,1,1
166,3,0,001,UNION,SELF,a,tbl_asset_sub_group,0,0,2
167,2,1,001,UNION,SELF,a,tbl_asset_sub_group_local,1,1,1
168,3,0,001,UNION,SELF,a,tbl_asset_sub_group_local,0,0,2
169,3,0,001,UNION,SELF,a,tbl_asset,0,0,1
170,3,0,001,UNION,SELF,a,tbl_asset,0,0,2
171,3,0,001,UNION,SELF,a,tbl_asset_local,0,0,1
172,3,0,001,UNION,SELF,a,tbl_asset_local,0,0,2
173,3,0,001,UNION,SELF,a,tbl_asset_group_dcs_depre,0,0,1
174,3,0,001,UNION,SELF,a,tbl_asset_group_dcs_depre,0,0,2
175,3,0,001,UNION,SELF,a,tbl_asset_depreciation_company_act,0,0,1
176,3,0,001,UNION,SELF,a,tbl_asset_depreciation_company_act,0,0,2
177,3,0,001,UNION,SELF,a,tbl_asset_depreciation_incometax_act,0,0,1
178,3,0,001,UNION,SELF,a,tbl_asset_depreciation_incometax_act,0,0,2
179,3,0,001,UNION,SELF,a,tbl_asset_depreciation,0,0,1
180,3,0,001,UNION,SELF,a,tbl_asset_depreciation,0,0,2
181,3,0,001,UNION,SELF,a,tbl_bank_district,0,0,1
182,0,1,001,UNION,PARENT,a,tbl_bank_district,1,0,2
183,3,0,001,UNION,SELF,a,tbl_bank_district,0,0,1
184,0,1,001,UNION,PARENT,a,tbl_bank_district,1,0,2
185,3,0,001,UNION,SELF,a,tbl_federation_state,0,0,1
186,0,1,001,UNION,PARENT,a,tbl_federation_state,1,0,2
187,2,1,001,UNION,SELF,a,tbl_dcs_village,1,1,1
188,3,0,001,UNION,SELF,a,tbl_dcs_village,0,0,2
189,2,1,001,UNION,SELF,a,tbl_dcs_milk_type,1,1,1
190,3,0,001,UNION,SELF,a,tbl_dcs_milk_type,0,0,2
191,2,1,001,UNION,SELF,a,tbl_sub_center_milk_type,1,1,1
192,1,1,001,UNION,CHILD,a,tbl_sub_center_milk_type,1,0,2
193,2,1,001,UNION,SELF,a,tbl_collection_point_milk_type,1,1,1
194,1,1,001,UNION,CHILD,a,tbl_collection_point_milk_type,0,1,2
195,3,0,001,UNION,SELF,a,tbl_dcs_subcenter_misc,0,0,1
196,1,1,001,UNION,CHILD,a,tbl_dcs_subcenter_misc,0,1,2
197,2,1,001,UNION,SELF,a,tbl_dcs_subcenter_bmc_info,1,1,1
198,3,0,001,UNION,SELF,a,tbl_dcs_subcenter_bmc_info,0,0,2
199,3,0,001,UNION,SELF,a,tbl_financial_year,0,0,1
200,0,1,001,UNION,PARENT,a,tbl_financial_year,1,0,2
201,3,0,001,UNION,SELF,a,tbl_dcs_subcenter_misc_local,0,0,1
202,1,1,001,UNION,CHILD,a,tbl_dcs_subcenter_misc_local,0,1,2
